Domain,Area Code,Area,Element,Item Code,Item,Year Code,Unit,Value,Flag Description
Fertilizers,2,Afghanistan,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,11.71,Calculated data
Fertilizers,2,Afghanistan,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,0.19,Calculated data
Fertilizers,3,Albania,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,46.15,Calculated data
Fertilizers,3,Albania,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,32.9,Calculated data
Fertilizers,3,Albania,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.76,Calculated data
Fertilizers,4,Algeria,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,11.83,Calculated data
Fertilizers,4,Algeria,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,5.61,Calculated data
Fertilizers,4,Algeria,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,3.16,Calculated data
Fertilizers,7,Angola,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,4.91,Calculated data
Fertilizers,7,Angola,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,1.01,Calculated data
Fertilizers,7,Angola,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.68,Calculated data
Fertilizers,8,Antigua and Barbuda,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,1.6,Calculated data
Fertilizers,8,Antigua and Barbuda,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2,Calculated data
Fertilizers,8,Antigua and Barbuda,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.4,Calculated data
Fertilizers,9,Argentina,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,14.52,Calculated data
Fertilizers,9,Argentina,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,11.62,Calculated data
Fertilizers,9,Argentina,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.81,Calculated data
Fertilizers,1,Armenia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,43.94,Calculated data
Fertilizers,1,Armenia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,1.77,Calculated data
Fertilizers,1,Armenia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.22,Calculated data
Fertilizers,10,Australia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,28.04,Calculated data
Fertilizers,10,Australia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,19.98,Calculated data
Fertilizers,10,Australia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,5.16,Calculated data
Fertilizers,11,Austria,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,78.95,Calculated data
Fertilizers,11,Austria,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,28.4,Calculated data
Fertilizers,11,Austria,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,25.7,Calculated data
Fertilizers,52,Azerbaijan,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,17.45,Calculated data
Fertilizers,52,Azerbaijan,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.08,Calculated data
Fertilizers,52,Azerbaijan,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,2.07,Calculated data
