country,country name,residence type,service type,year,value,population,service level
ABW,Aruba,total,Drinking water,2015,97.87,101675,At least basic
ABW,Aruba,total,Drinking water,2015,0.17,178,Surface water
ABW,Aruba,total,Drinking water,2015,1.96,2036,Unimproved
AFG,Afghanistan,total,Drinking water,2015,62.98,20485296,At least basic
AFG,Afghanistan,total,Drinking water,2015,5.55,1806031,Limited service
AFG,Afghanistan,total,Drinking water,2015,15.16,4931789,Surface water
AFG,Afghanistan,total,Drinking water,2015,16.3,5303445,Unimproved
AGO,Angola,total,Drinking water,2015,41.01,10260478,At least basic
AGO,Angola,total,Drinking water,2015,15.82,3959197,Limited service
AGO,Angola,total,Drinking water,2015,24.48,6124231,Surface water
AGO,Angola,total,Drinking water,2015,18.7,4678069,Unimproved
AIA,Anguilla,total,Drinking water,2015,98.22,14353,At least basic
AIA,Anguilla,total,Drinking water,2015,0,0,Surface water
AIA,Anguilla,total,Drinking water,2015,1.78,261,Unimproved
ALB,Albania,total,Drinking water,2015,22.52,652458,Basic service
ALB,Albania,total,Drinking water,2015,4.74,137336,Limited service
ALB,Albania,total,Drinking water,2015,68.87,1994942,Safely managed service
ALB,Albania,total,Drinking water,2015,0,0,Surface water
ALB,Albania,total,Drinking water,2015,3.86,111943,Unimproved
AND,Andorra,total,Drinking water,2015,100,70473,At least basic
AND,Andorra,total,Drinking water,2015,0,0,Surface water
AND,Andorra,total,Drinking water,2015,0,0,Unimproved
ARE,United Arab Emirates,total,Drinking water,2015,99.63,9123152,At least basic
ARE,United Arab Emirates,total,Drinking water,2015,0.37,33678,Surface water
ARE,United Arab Emirates,total,Drinking water,2015,0,132,Unimproved
ARG,Argentina,total,Drinking water,2015,1.1,477535,Basic service
ARG,Argentina,total,Drinking water,2015,98.53,42777403,Safely managed service
ARG,Argentina,total,Drinking water,2015,0.1,43231,Surface water
ARG,Argentina,total,Drinking water,2015,0.27,118584,Unimproved
ARM,Armenia,total,Drinking water,2015,38.34,1157057,Basic service
ARM,Armenia,total,Drinking water,2015,0.82,24687,Limited service
ARM,Armenia,total,Drinking water,2015,60.58,1828174,Safely managed service
ARM,Armenia,total,Drinking water,2015,0.05,1465,Surface water
ARM,Armenia,total,Drinking water,2015,0.21,6329,Unimproved
ASM,American Samoa,total,Drinking water,2015,99.23,55111,At least basic
ASM,American Samoa,total,Drinking water,2015,0,0,Surface water
ASM,American Samoa,total,Drinking water,2015,0.77,427,Unimproved
ATG,Antigua and Barbuda,total,Drinking water,2015,96.74,88824,At least basic
ATG,Antigua and Barbuda,total,Drinking water,2015,0.09,87,Surface water
ATG,Antigua and Barbuda,total,Drinking water,2015,3.17,2907,Unimproved
AUS,Australia,total,Drinking water,2015,99.97,23961470,At least basic
AUS,Australia,total,Drinking water,2015,0,0,Surface water
AUS,Australia,total,Drinking water,2015,0.03,7502,Unimproved
AUT,Austria,total,Drinking water,2015,1.31,111941,Basic service
AUT,Austria,total,Drinking water,2015,98.69,8432645,Safely managed service
AUT,Austria,total,Drinking water,2015,0,0,Surface water
AUT,Austria,total,Drinking water,2015,0,0,Unimproved
AZE,Azerbaijan,total,Drinking water,2015,12.86,1254429,Basic service
AZE,Azerbaijan,total,Drinking water,2015,7.03,685732,Limited service
AZE,Azerbaijan,total,Drinking water,2015,71.52,6975761,Safely managed service
AZE,Azerbaijan,total,Drinking water,2015,2.45,239170,Surface water
AZE,Azerbaijan,total,Drinking water,2015,6.14,598875,Unimproved
BDI,Burundi,total,Drinking water,2015,55.93,6252831,At least basic
BDI,Burundi,total,Drinking water,2015,19.54,2183852,Limited service
BDI,Burundi,total,Drinking water,2015,7.08,791644,Surface water
BDI,Burundi,total,Drinking water,2015,17.45,1950594,Unimproved
BEL,Belgium,total,Drinking water,2015,1.63,184553,Basic service
BEL,Belgium,total,Drinking water,2015,98.37,11114639,Safely managed service
BEL,Belgium,total,Drinking water,2015,0,0,Surface water
BEL,Belgium,total,Drinking water,2015,0,0,Unimproved
BEN,Benin,total,Drinking water,2015,67.02,7291366,At least basic
BEN,Benin,total,Drinking water,2015,8.45,919121,Limited service
BEN,Benin,total,Drinking water,2015,3.42,372344,Surface water
BEN,Benin,total,Drinking water,2015,21.11,2296997,Unimproved
BFA,Burkina Faso,total,Drinking water,2015,53.86,9751225,At least basic
BFA,Burkina Faso,total,Drinking water,2015,21.9,3965504,Limited service
BFA,Burkina Faso,total,Drinking water,2015,2.2,397428,Surface water
BFA,Burkina Faso,total,Drinking water,2015,22.05,3991414,Unimproved
BGD,Bangladesh,total,Drinking water,2015,41.65,67060959,Basic service
BGD,Bangladesh,total,Drinking water,2015,1.17,1883112,Limited service
BGD,Bangladesh,total,Drinking water,2015,55.67,89631504,Safely managed service
BGD,Bangladesh,total,Drinking water,2015,0.97,1555657,Surface water
BGD,Bangladesh,total,Drinking water,2015,0.54,864416,Unimproved
BGR,Bulgaria,total,Drinking water,2015,2.7,193332,Basic service
BGR,Bulgaria,total,Drinking water,2015,96.55,6903235,Safely managed service
BGR,Bulgaria,total,Drinking water,2015,0.1,7313,Surface water
BGR,Bulgaria,total,Drinking water,2015,0.64,45908,Unimproved
BHR,Bahrain,total,Drinking water,2015,1.26,17353,Basic service
BHR,Bahrain,total,Drinking water,2015,98.74,1359884,Safely managed service
BHR,Bahrain,total,Drinking water,2015,0,0,Surface water
BHR,Bahrain,total,Drinking water,2015,0,0,Unimproved
BHS,Bahamas,total,Drinking water,2015,97.79,379451,At least basic
BHS,Bahamas,total,Drinking water,2015,0,0,Surface water
BHS,Bahamas,total,Drinking water,2015,2.21,8568,Unimproved
BIH,Bosnia and Herzegovina,total,Drinking water,2015,9.08,346165,Basic service
BIH,Bosnia and Herzegovina,total,Drinking water,2015,2.21,84143,Limited service
BIH,Bosnia and Herzegovina,total,Drinking water,2015,88.58,3375095,Safely managed service
BIH,Bosnia and Herzegovina,total,Drinking water,2015,0,0,Surface water
BIH,Bosnia and Herzegovina,total,Drinking water,2015,0.13,5014,Unimproved
BLR,Belarus,total,Drinking water,2015,3.58,339655,Basic service
BLR,Belarus,total,Drinking water,2015,1.71,162636,Limited service
BLR,Belarus,total,Drinking water,2015,94.43,8966782,Safely managed service
BLR,Belarus,total,Drinking water,2015,0,0,Surface water
BLR,Belarus,total,Drinking water,2015,0.28,26753,Unimproved
BLZ,Belize,total,Drinking water,2015,97.13,348971,At least basic
BLZ,Belize,total,Drinking water,2015,1.23,4429,Limited service
BLZ,Belize,total,Drinking water,2015,0.03,104,Surface water
BLZ,Belize,total,Drinking water,2015,1.61,5782,Unimproved
BMU,Bermuda,total,Drinking water,2015,99.9,61944,At least basic
BMU,Bermuda,total,Drinking water,2015,0,0,Surface water
