country,country_name,service_type,year,value,population,service_level
ABW,Aruba,Sanitation,2015,97.54,101337,At_least_basic
ABW,Aruba,Sanitation,2015,0.00,0,Limited_service
ABW,Aruba,Sanitation,2015,1.47,1530,Open_defecation
ABW,Aruba,Sanitation,2015,0.98,1022,Unimproved
AFG,Afghanistan,Sanitation,2015,39.22,12757059,At_least_basic
AFG,Afghanistan,Sanitation,2015,9.42,3062461,Limited_service
AFG,Afghanistan,Sanitation,2015,13.55,4406168,Open_defecation
AFG,Afghanistan,Sanitation,2015,37.82,12300874,Unimproved
AGO,Angola,Sanitation,2015,39.43,9866020,At_least_basic
AGO,Angola,Sanitation,2015,14.99,3750721,Limited_service
AGO,Angola,Sanitation,2015,32.84,8217900,Open_defecation
AGO,Angola,Sanitation,2015,12.74,3187333,Unimproved
AIA,Anguilla,Sanitation,2015,96.92,14164,At_least_basic
AIA,Anguilla,Sanitation,2015,2.38,348,Limited_service
AIA,Anguilla,Sanitation,2015,0.54,79,Open_defecation
AIA,Anguilla,Sanitation,2015,0.16,23,Unimproved
ALB,Albania,Sanitation,2015,32.87,952228,Basic_service
ALB,Albania,Sanitation,2015,2.11,61106,Limited_service
ALB,Albania,Sanitation,2015,0.20,5788,Open_defecation
ALB,Albania,Sanitation,2015,64.82,1877557,Safely_managed_service
ALB,Albania,Sanitation,2015,0.00,0,Unimproved
AND,Andorra,Sanitation,2015,0.00,0,Basic_service
AND,Andorra,Sanitation,2015,0.00,0,Limited_service
AND,Andorra,Sanitation,2015,0.00,0,Open_defecation
AND,Andorra,Sanitation,2015,100.00,70473,Safely_managed_service
AND,Andorra,Sanitation,2015,0.00,0,Unimproved
ARE,United_Arab_Emirates,Sanitation,2015,6.61,605010,Basic_service
ARE,United_Arab_Emirates,Sanitation,2015,0.02,2088,Limited_service
ARE,United_Arab_Emirates,Sanitation,2015,0.00,0,Open_defecation
ARE,United_Arab_Emirates,Sanitation,2015,93.37,8549865,Safely_managed_service
ARE,United_Arab_Emirates,Sanitation,2015,0.00,0,Unimproved
ARG,Argentina,Sanitation,2015,68.36,29677903,Basic_service
ARG,Argentina,Sanitation,2015,3.28,1423279,Limited_service
